iter	Passed	Remaining
0	3	3027
1	7	3294
2	10	3044
3	13	3112
4	16	3069
5	19	3009
6	23	3048
7	27	3092
8	30	3044
9	33	3023
10	36	2997
11	40	3022
12	43	2984
13	47	3026
14	55	3302
15	58	3275
16	61	3249
17	65	3256
18	68	3229
19	72	3214
20	75	3183
21	80	3229
22	86	3332
23	90	3353
24	94	3357
25	97	3327
26	101	3304
27	104	3286
28	108	3284
29	111	3280
30	116	3310
31	123	3379
32	127	3390
33	132	3407
34	135	3381
35	138	3366
36	141	3346
37	145	3338
38	150	3366
39	154	3356
40	156	3323
41	160	3323
42	164	3303
43	167	3291
44	168	3233
45	171	3215
46	173	3173
47	176	3158
48	182	3206
49	185	3194
50	188	3175
51	191	3155
52	194	3140
53	197	3123
54	201	3122
55	203	3102
56	206	3091
57	209	3078
58	216	3125
59	220	3126
60	224	3117
61	228	3119
62	232	3115
63	234	3099
64	237	3084
65	242	3096
66	246	3099
67	249	3082
68	252	3069
69	254	3054
70	257	3037
71	260	3028
72	263	3016
73	266	3010
74	269	3001
75	274	3003
76	277	3000
77	281	2994
78	284	2985
79	287	2979
80	290	2965
81	293	2960
82	296	2948
83	300	2950
84	303	2938
85	307	2940
86	310	2933
87	314	2938
88	317	2929
89	320	2920
90	323	2909
91	327	2908
92	330	2897
93	334	2899
94	338	2896
95	342	2896
96	345	2893
97	348	2883
98	351	2876
99	355	2877
100	359	2873
101	361	2862
102	364	2855
103	373	2889
104	380	2913
105	383	2906
106	387	2904
107	391	2906
108	396	2909
109	401	2919
110	405	2918
111	409	2910
112	412	2902
113	415	2896
114	418	2886
115	420	2876
116	423	2866
117	426	2858
118	429	2850
119	432	2843
120	435	2835
121	439	2832
122	445	2846
123	448	2838
124	451	2833
125	454	2824
126	459	2826
127	461	2818
128	465	2814
129	469	2813
130	473	2809
131	475	2800
132	479	2796
133	482	2789
134	485	2784
135	488	2775
136	490	2765
137	494	2762
138	497	2758
139	501	2756
140	505	2755
141	508	2747
142	511	2740
143	514	2733
144	517	2725
145	519	2717
146	522	2707
147	525	2703
148	530	2704
149	534	2704
150	539	2705
151	541	2697
152	545	2694
153	547	2686
154	550	2678
155	554	2676
156	557	2669
157	562	2672
158	565	2668
159	568	2660
160	571	2655
161	574	2649
162	577	2641
163	579	2634
164	582	2627
165	585	2621
166	588	2615
167	591	2608
168	596	2610
169	600	2609
170	604	2606
171	606	2599
172	609	2592
173	612	2587
174	615	2579
175	618	2575
