,date,holiday_name
0,2024-01-01,신정연휴
1,2024-02-10,설날
2,2024-02-09,설날 전날
3,2024-02-11,설날 다음날
4,2024-03-01,삼일절
5,2024-05-15,부처님오신날
6,2024-05-05,어린이날
7,2024-06-06,현충일
8,2024-08-15,광복절
9,2024-10-03,개천절
10,2024-10-09,한글날
11,2024-09-17,추석
12,2024-09-16,추석 전날
13,2024-09-18,추석 다음날
14,2024-12-25,기독탄신일
15,2024-04-10,국회의원 선거일
16,2024-02-12,설날 대체 휴일
17,2024-05-06,어린이날 대체 휴일
18,2024-10-01,국군의 날
19,2025-01-01,신정연휴
20,2025-01-29,설날
21,2025-01-28,설날 전날
22,2025-01-30,설날 다음날
23,2025-03-01,삼일절
24,2025-05-05,부처님오신날; 어린이날
25,2025-06-06,현충일
26,2025-08-15,광복절
27,2025-10-03,개천절
28,2025-10-09,한글날
29,2025-10-06,추석
30,2025-10-05,추석 전날
31,2025-10-07,추석 다음날
32,2025-12-25,기독탄신일
33,2025-03-03,삼일절 대체 휴일
34,2025-05-06,부처님오신날 대체 휴일; 어린이날 대체 휴일
35,2025-10-08,추석 대체 휴일
36,2025-01-27,임시공휴일
37,2025-06-03,대통령 선거일
38,2023-01-01,신정연휴
39,2023-01-22,설날
40,2023-01-21,설날 전날
41,2023-01-23,설날 다음날
42,2023-03-01,삼일절
43,2023-05-27,부처님오신날
44,2023-05-05,어린이날
45,2023-06-06,현충일
46,2023-08-15,광복절
47,2023-10-03,개천절
48,2023-10-09,한글날
49,2023-09-29,추석
50,2023-09-28,추석 전날
51,2023-09-30,추석 다음날
52,2023-12-25,기독탄신일
53,2023-01-24,설날 대체 휴일
54,2023-05-29,부처님오신날 대체 휴일
55,2023-10-02,임시공휴일
