iter	RMSE
0	0.2875452369
1	0.2871166019
2	0.2864714823
3	0.2859825234
4	0.2854578493
5	0.2849093394
6	0.2841927821
7	0.2836656433
8	0.283364788
9	0.2829485787
10	0.282436861
11	0.2820112689
12	0.2815968866
13	0.2810811072
14	0.2807668918
15	0.2803324692
16	0.2800500854
17	0.2797694472
18	0.279536462
19	0.2792526152
20	0.2787822849
21	0.2781251413
22	0.2777248017
23	0.2773185999
24	0.2768764275
25	0.2765672252
26	0.2761285806
27	0.2756139116
28	0.2752667376
29	0.2748165267
30	0.2744549149
31	0.2740348032
32	0.2736293137
33	0.2732411839
34	0.2729506526
35	0.2726175684
36	0.2723974162
37	0.2721598776
38	0.2717483963
39	0.2714277723
40	0.2710175964
41	0.2707197954
42	0.2704066013
43	0.2700907721
44	0.2696657235
45	0.2694677989
46	0.2689553758
47	0.2686569348
48	0.2683685436
49	0.2680393574
50	0.2678529996
51	0.2675788106
52	0.2674596763
53	0.2672122513
54	0.2669905998
55	0.2667099877
56	0.2663236218
57	0.2659496635
58	0.2656765081
59	0.2654054311
60	0.264930106
61	0.2646909048
62	0.2644784219
63	0.2642891966
64	0.2639757947
65	0.2637554319
66	0.2634580899
67	0.2631203319
68	0.2629277296
69	0.262652588
70	0.2623307814
71	0.2622943432
72	0.2620953141
73	0.2617692083
74	0.26142233
75	0.2610926223
76	0.2609208736
77	0.2607454192
78	0.2604270604
79	0.2602829578
80	0.2598256156
81	0.2594211443
82	0.2589439372
83	0.2587111285
84	0.2584088275
85	0.2581648667
86	0.2578728803
87	0.2574869171
88	0.2571344273
89	0.2569032143
90	0.2564817929
91	0.256336448
92	0.2560926317
93	0.2558949573
94	0.2555840594
95	0.2551954609
96	0.2547735088
97	0.2545015108
98	0.2541979451
99	0.2540691301
100	0.2538635906
101	0.253628263
102	0.2533142746
103	0.2530523279
104	0.252828788
105	0.2523812763
106	0.2522229924
107	0.2520086783
108	0.2516582816
109	0.2515223443
110	0.2512018891
111	0.2509547629
112	0.250939923
113	0.2508110567
114	0.2505462956
115	0.2503237923
116	0.2500510685
117	0.2497497662
118	0.2495867446
119	0.2493673475
120	0.2490491574
121	0.2487140878
122	0.2485226357
123	0.2482525406
124	0.2480204175
125	0.2477546581
126	0.247536268
127	0.2473717395
128	0.2471847357
129	0.2469668108
130	0.246667453
131	0.246464698
132	0.2462793187
133	0.246136162
134	0.2459151059
135	0.2454622562
136	0.245301668
137	0.2450336464
138	0.2446980915
139	0.2445644402
140	0.2443347937
141	0.2439538669
142	0.2436441401
143	0.243446308
144	0.2432681122
145	0.2430388966
146	0.2428467092
147	0.242528067
148	0.2421427008
149	0.2419292455
150	0.2418336052
151	0.2416402031
152	0.2413007542
153	0.2411431459
154	0.2407512224
155	0.2406070607
156	0.2403942662
157	0.240169716
158	0.2399995426
159	0.2398215429
160	0.2397601447
161	0.2396638826
162	0.2394749393
163	0.2393623917
164	0.2392670911
165	0.2390071759
166	0.2387389002
167	0.2383484029
168	0.2381762031
169	0.2376808969
170	0.2374705235
171	0.2372902341
172	0.2371461272
173	0.2368594881
174	0.2365698785
175	0.2363982529
176	0.2361843716
177	0.235958489
178	0.2357402097
179	0.2355638633
180	0.2354159122
181	0.2352069415
182	0.2349499449
183	0.234779678
184	0.2346300754
185	0.2343023123
186	0.2341343525
187	0.23377132
188	0.2336639029
189	0.233428544
190	0.2330969179
191	0.232957609
192	0.2326559793
193	0.2322828467
194	0.2320762067
195	0.2317920214
196	0.2316736028
197	0.2315243511
198	0.2312685247
199	0.2311913043
200	0.2309171981
201	0.2306397082
202	0.2304581067
203	0.2303336437
204	0.2302110838
205	0.2299687351
206	0.229710097
207	0.2295178529
208	0.2293920079
209	0.2292398507
210	0.229055133
211	0.2287347014
212	0.2285724589
213	0.2282558322
214	0.2280748473
215	0.2278438879
216	0.2276085233
217	0.2274229499
218	0.2271031289
219	0.2268924347
220	0.2267024443
221	0.226553574
222	0.226322276
223	0.2258833202
224	0.2256354168
225	0.2254497248
226	0.2251573537
227	0.2249277282
228	0.2247905526
229	0.2246626592
230	0.2242959939
231	0.2239767194
232	0.2237781241
233	0.223567831
234	0.2233766948
235	0.2230610161
236	0.2229371442
237	0.2227160905
238	0.2224788885
239	0.2222106167
240	0.2220023846
241	0.2218270589
242	0.2216942398
243	0.2215444358
244	0.2213167769
245	0.2211640015
246	0.2207343649
247	0.2204323385
248	0.220244849
249	0.219978158
250	0.2198310637
251	0.2196690104
252	0.2194630247
